Code,OI/LO/KUSP
OI.2.GQ.2.LO.2.U.1.K.12,Work-life balance is the extent to which experiences are managed.
OI.2.GQ.2.LO.2.U.1.K.13,Choices related to workplace can influence sense of belonging and safety.
OI.2.GQ.2.LO.2.U.1.K.14,"Workplace culture that promotes diversity, equity, and inclusion can contribute to sense of belonging."
OI.2.GQ.2.LO.2.U.1.K.15,Workplace safety policies and practices can contribute to a safe workplace.
OI.2.GQ.2.LO.2.U.1.SP.1,"Discuss reasons for choosing extracurricular, curricular, and work-related experiences."
OI.2.GQ.2.LO.2.U.1.SP.2,Brainstorm options for engaging in volunteering and entrepreneurship opportunities of personal interest.
OI.2.GQ.2.LO.2.U.1.SP.3,Relate personal experiences to future choices related to work.
OI.2.GQ.2.LO.2.U.1.SP.4,Discuss personal preferences related to work.
OI.2.GQ.2.LO.2.U.1.SP.5,Relate work-life balance to employment choices.
OI.2.GQ.2.LO.2.U.1.SP.6,"Reflect on work-life balance based on personal extracurricular, curricular, or work commitments."
OI.2.GQ.2.LO.2.U.1.SP.7,Discuss ways that workplaces can promote a sense of belonging and safety.
OI.3,"Financial Literacy: Informed financial decision making contributes to the well-being of individuals, groups, and communities."
OI.3.GQ.3,What influences decisions about responsible spending?
OI.3.GQ.3.LO.3,Students investigate personal finance.
OI.3.GQ.3.LO.3.U.1,"Personal finance can be influenced by income, savings, and spending decisions."
OI.3.GQ.3.LO.3.U.1.K.1,"Personal finance is a process of planning and managing activities related to money, including earning, spending, saving, budgeting, and borrowing."
OI.3.GQ.3.LO.3.U.1.K.2,"Personal income can be earned, e.g., employment income, or acquired, e.g., gifts."
OI.3.GQ.3.LO.3.U.1.K.3,"Employment income can be salary, wages, gratuities, commission, and entrepreneurship profit."
OI.3.GQ.3.LO.3.U.1.K.4,Employment income can be dependent on factors such as education and experience.
OI.3.GQ.3.LO.3.U.1.K.5,"Employment income can be standardized by legislation, e.g., employment standards for minimum wage."
OI.3.GQ.3.LO.3.U.1.K.6,Employment income may be impacted by taxes and deductions.
OI.3.GQ.3.LO.3.U.1.K.7,"Spending can be influenced by
- advertising
- family
- fundraising activities
- peers
- perceived needs and wants
- social influences
- currency exchange rates"
OI.3.GQ.3.LO.3.U.1.K.8,The value of currency can differ between countries and can be a factor when accepting employment or purchasing items from outside of Canada.
OI.3.GQ.3.LO.3.U.1.K.9,Economizing is a strategy to reduce spending in ways such as shopping for the lowest price or the lowest unit price.
OI.3.GQ.3.LO.3.U.1.K.10,Planned spending can support economizing.
OI.3.GQ.3.LO.3.U.1.SP.1,Relate personal experiences to decisions about personal finance.
OI.3.GQ.3.LO.3.U.1.SP.2,Discuss the influence that personal income can have on financial decisions.
OI.3.GQ.3.LO.3.U.1.SP.3,Describe factors that can influence employment income.
OI.3.GQ.3.LO.3.U.1.SP.4,Explore various types of employment income.
OI.3.GQ.3.LO.3.U.1.SP.5,Discuss how the value of currency between countries can influence employment income and spending decisions.
OI.3.GQ.3.LO.3.U.1.SP.6,Discuss influences on spending.
OI.3.GQ.3.LO.3.U.1.SP.7,Investigate ways to economize.
